endorser,category,candidate,endorsement
Alice B. Toklas Democratic Club,"Member, Board of Supervisors, District 1",Jonathan Lyens,No
Alice B. Toklas Democratic Club,"Member, Board of Supervisors, District 1",Marjan Philhour,Yes
Alice B. Toklas Democratic Club,"Member, Board of Supervisors, District 1",Richie Greenberg,No
Alice B. Toklas Democratic Club,"Member, Board of Supervisors, District 1",Sandra Lee Fewer,No
Alice B. Toklas Democratic Club,"Member, Board of Supervisors, District 1",Sherman R. D'Silva,No
Alice B. Toklas Democratic Club,"Member, Board of Supervisors, District 11",Ahsha Safai,Yes
Alice B. Toklas Democratic Club,"Member, Board of Supervisors, District 11",Berta Hernandez,No
Alice B. Toklas Democratic Club,"Member, Board of Supervisors, District 11",Francisco Herrera,No
Alice B. Toklas Democratic Club,"Member, Board of Supervisors, District 11",Kim Alvarenga,No
Alice B. Toklas Democratic Club,"Member, Board of Supervisors, District 11",Magdalena de Guzman,No
Alice B. Toklas Democratic Club,"Member, Board of Supervisors, District 3",Aaron Peskin,Abstain
Alice B. Toklas Democratic Club,"Member, Board of Supervisors, District 3",Tim E. Donnelly,Abstain
Alice B. Toklas Democratic Club,"Member, Board of Supervisors, District 5",Dean Preston,No
Alice B. Toklas Democratic Club,"Member, Board of Supervisors, District 5",London Breed,Yes
Alice B. Toklas Democratic Club,"Member, Board of Supervisors, District 7",Ben Matranga,Abstain
Alice B. Toklas Democratic Club,"Member, Board of Supervisors, District 7",Joel Engardio,Abstain
Alice B. Toklas Democratic Club,"Member, Board of Supervisors, District 7",John Farrell,Abstain
Alice B. Toklas Democratic Club,"Member, Board of Supervisors, District 7",Mike Young,Abstain
Alice B. Toklas Democratic Club,"Member, Board of Supervisors, District 7",Norman Yee,Abstain
Alice B. Toklas Democratic Club,"Member, Board of Supervisors, District 9",Hillary Ronen,No
Alice B. Toklas Democratic Club,"Member, Board of Supervisors, District 9",Iswari Espana,No
Alice B. Toklas Democratic Club,"Member, Board of Supervisors, District 9",Joshua Arce,Yes
Alice B. Toklas Democratic Club,"Member, Board of Supervisors, District 9",Melissa San Miguel,No
Alice B. Toklas Democratic Club,"Member, Community College Board",Alex Randolph,Yes
Alice B. Toklas Democratic Club,"Member, Community College Board",Dr. Amy Bacharach,Yes
Alice B. Toklas Democratic Club,"Member, Community College Board",Rafael Mandelman,Yes
Alice B. Toklas Democratic Club,"Member, Community College Board",Shanell Williams,Yes
Alice B. Toklas Democratic Club,"Member, Community College Board",Tom Temprano,No
Alice B. Toklas Democratic Club,"Member, State Assembly, District 17",David Chiu,Yes
Alice B. Toklas Democratic Club,"Member, State Assembly, District 17",Matthew Del Carlo,No
Alice B. Toklas Democratic Club,"Member, State Assembly, District 19","Carlos ""Chuck"" Taylor",No
Alice B. Toklas Democratic Club,"Member, State Assembly, District 19",Phil Ting,Yes
Alice B. Toklas Democratic Club,"State Senator, District 11",Jane Kim,No
Alice B. Toklas Democratic Club,"State Senator, District 11",Scott Wiener,Yes
Alice B. Toklas Democratic Club,"United States Representative, District 12",Nancy Pelosi,Yes
Alice B. Toklas Democratic Club,"United States Representative, District 12",Preston Picus,No
Alice B. Toklas Democratic Club,"United States Representative, District 13",Barbara Lee,NA
Alice B. Toklas Democratic Club,"United States Representative, District 13",Sue Caro,NA
Alice B. Toklas Democratic Club,"United States Representative, District 14",Angel Cardenas,No
Alice B. Toklas Democratic Club,"United States Representative, District 14",Jackie Speier,Yes
Alice B. Toklas Democratic Club,President and Vice President,Donald J. Trump and Michael R. Pence,No
Alice B. Toklas Democratic Club,President and Vice President,Gary Johnson and Bill Weld,No
Alice B. Toklas Democratic Club,President and Vice President,Gloria Estela La Riva and Dennis J. Banks,No
Alice B. Toklas Democratic Club,President and Vice President,Hillary Clinton and Tim Kaine,Yes
Alice B. Toklas Democratic Club,President and Vice President,Jill Stein and Ajamu Baraka,No
Alice B. Toklas Democratic Club,Regional Proposition,RR,Yes
Alice B. Toklas Democratic Club,SF Proposition,A,Yes
Alice B. Toklas Democratic Club,SF Proposition,B,Yes
Alice B. Toklas Democratic Club,SF Proposition,C,Yes
Alice B. Toklas Democratic Club,SF Proposition,D,No
Alice B. Toklas Democratic Club,SF Proposition,E,Yes
Alice B. Toklas Democratic Club,SF Proposition,F,Yes
Alice B. Toklas Democratic Club,SF Proposition,G,Yes
Alice B. Toklas Democratic Club,SF Proposition,H,No
Alice B. Toklas Democratic Club,SF Proposition,I,Yes
Alice B. Toklas Democratic Club,SF Proposition,J,Yes
Alice B. Toklas Democratic Club,SF Proposition,K,Yes
Alice B. Toklas Democratic Club,SF Proposition,L,No
Alice B. Toklas Democratic Club,SF Proposition,M,No
Alice B. Toklas Democratic Club,SF Proposition,N,Yes
Alice B. Toklas Democratic Club,SF Proposition,O,Yes
Alice B. Toklas Democratic Club,SF Proposition,P,No
Alice B. Toklas Democratic Club,SF Proposition,Q,Abstain
Alice B. Toklas Democratic Club,SF Proposition,R,Yes
Alice B. Toklas Democratic Club,SF Proposition,S,No
Alice B. Toklas Democratic Club,SF Proposition,T,Abstain
Alice B. Toklas Democratic Club,SF Proposition,U,Abstain
Alice B. Toklas Democratic Club,SF Proposition,V,Yes
Alice B. Toklas Democratic Club,SF Proposition,W,Yes
Alice B. Toklas Democratic Club,SF Proposition,X,No
Alice B. Toklas Democratic Club,State Proposition,51,Yes
Alice B. Toklas Democratic Club,State Proposition,52,Yes
Alice B. Toklas Democratic Club,State Proposition,53,No
Alice B. Toklas Democratic Club,State Proposition,54,No
Alice B. Toklas Democratic Club,State Proposition,55,Yes
Alice B. Toklas Democratic Club,State Proposition,56,Yes
Alice B. Toklas Democratic Club,State Proposition,57,Yes
Alice B. Toklas Democratic Club,State Proposition,58,Yes
Alice B. Toklas Democratic Club,State Proposition,59,Yes
Alice B. Toklas Democratic Club,State Proposition,60,No
Alice B. Toklas Democratic Club,State Proposition,61,No
Alice B. Toklas Democratic Club,State Proposition,62,Yes
Alice B. Toklas Democratic Club,State Proposition,63,Yes
Alice B. Toklas Democratic Club,State Proposition,64,Yes
Alice B. Toklas Democratic Club,State Proposition,65,No
Alice B. Toklas Democratic Club,State Proposition,66,No
Alice B. Toklas Democratic Club,State Proposition,67,Yes
Alice B. Toklas Democratic Club,United States Senator,Kamala D. Harris,Yes
Alice B. Toklas Democratic Club,United States Senator,Loretta L. Sanchez,No
Alix Rosenthal,"BART Director, District 7",Lateefah Simon,NA
Alix Rosenthal,"BART Director, District 7",Roland Emerson,NA
Alix Rosenthal,"BART Director, District 7",Will Roscoe,NA
Alix Rosenthal,"BART Director, District 7",Zakhary Mallett,NA
Alix Rosenthal,"BART Director, District 9",Bevan Dufty,NA
Alix Rosenthal,"BART Director, District 9",Gywneth Borden,NA
Alix Rosenthal,"BART Director, District 9",Michael Petraeus,NA
Alix Rosenthal,"Judge of the Superior Court, Office No 7",Paul Henderson,NA
Alix Rosenthal,"Judge of the Superior Court, Office No 7",Victor Hwang,NA
Alix Rosenthal,"Member, Board of Education",Ian Kalin,NA
Alix Rosenthal,"Member, Board of Education",Jill Wynns,NA
Alix Rosenthal,"Member, Board of Education",Mark Sanchez,NA
Alix Rosenthal,"Member, Board of Education",Matt Haney,NA
Alix Rosenthal,"Member, Board of Education",Phil Kim,NA
Alix Rosenthal,"Member, Board of Education",Rachel Norton,NA
Alix Rosenthal,"Member, Board of Education",Rob Geller,NA
Alix Rosenthal,"Member, Board of Education",Stevon Cook,NA
Alix Rosenthal,"Member, Board of Education",Trevor McNeil,NA
Alix Rosenthal,"Member, Board of Supervisors, District 1",Andy Thornley,NA
Alix Rosenthal,"Member, Board of Supervisors, District 1",Brian J. Larkin,NA
Alix Rosenthal,"Member, Board of Supervisors, District 1",David Lee,NA
Alix Rosenthal,"Member, Board of Supervisors, District 1",Jason Jungreis,NA
Alix Rosenthal,"Member, Board of Supervisors, District 1",Jonathan Lyens,NA
Alix Rosenthal,"Member, Board of Supervisors, District 1",Marjan Philhour,NA
Alix Rosenthal,"Member, Board of Supervisors, District 1",Richie Greenberg,NA
Alix Rosenthal,"Member, Board of Supervisors, District 1",Sandra Lee Fewer,NA
Alix Rosenthal,"Member, Board of Supervisors, District 1",Sherman R. D'Silva,NA
Alix Rosenthal,"Member, Board of Supervisors, District 11",Ahsha Safai,NA
Alix Rosenthal,"Member, Board of Supervisors, District 11",Berta Hernandez,NA
Alix Rosenthal,"Member, Board of Supervisors, District 11",Francisco Herrera,NA
Alix Rosenthal,"Member, Board of Supervisors, District 11",Kim Alvarenga,NA
Alix Rosenthal,"Member, Board of Supervisors, District 11",Magdalena de Guzman,NA
Alix Rosenthal,"Member, Board of Supervisors, District 3",Aaron Peskin,NA
Alix Rosenthal,"Member, Board of Supervisors, District 3",Tim E. Donnelly,NA
Alix Rosenthal,"Member, Board of Supervisors, District 5",Dean Preston,NA
Alix Rosenthal,"Member, Board of Supervisors, District 5",London Breed,NA
Alix Rosenthal,"Member, Board of Supervisors, District 7",Ben Matranga,NA
Alix Rosenthal,"Member, Board of Supervisors, District 7",Joel Engardio,NA
Alix Rosenthal,"Member, Board of Supervisors, District 7",John Farrell,NA
Alix Rosenthal,"Member, Board of Supervisors, District 7",Mike Young,NA
Alix Rosenthal,"Member, Board of Supervisors, District 7",Norman Yee,NA
Alix Rosenthal,"Member, Board of Supervisors, District 9",Hillary Ronen,NA
Alix Rosenthal,"Member, Board of Supervisors, District 9",Iswari Espana,NA
Alix Rosenthal,"Member, Board of Supervisors, District 9",Joshua Arce,NA
Alix Rosenthal,"Member, Board of Supervisors, District 9",Melissa San Miguel,NA
Alix Rosenthal,"Member, Community College Board",Alex Randolph,NA
Alix Rosenthal,"Member, Community College Board",Dr. Amy Bacharach,NA
Alix Rosenthal,"Member, Community College Board",Rafael Mandelman,NA
Alix Rosenthal,"Member, Community College Board",Shanell Williams,NA
Alix Rosenthal,"Member, Community College Board",Tom Temprano,NA
Alix Rosenthal,"Member, State Assembly, District 17",David Chiu,NA
Alix Rosenthal,"Member, State Assembly, District 17",Matthew Del Carlo,NA
Alix Rosenthal,"Member, State Assembly, District 19","Carlos ""Chuck"" Taylor",NA
Alix Rosenthal,"Member, State Assembly, District 19",Phil Ting,NA
Alix Rosenthal,"State Senator, District 11",Jane Kim,NA
Alix Rosenthal,"State Senator, District 11",Scott Wiener,NA
Alix Rosenthal,"United States Representative, District 12",Nancy Pelosi,NA
Alix Rosenthal,"United States Representative, District 12",Preston Picus,NA
Alix Rosenthal,"United States Representative, District 13",Barbara Lee,NA
Alix Rosenthal,"United States Representative, District 13",Sue Caro,NA
Alix Rosenthal,"United States Representative, District 14",Angel Cardenas,NA
Alix Rosenthal,"United States Representative, District 14",Jackie Speier,NA
Alix Rosenthal,President and Vice President,Donald J. Trump and Michael R. Pence,NA
Alix Rosenthal,President and Vice President,Gary Johnson and Bill Weld,NA
Alix Rosenthal,President and Vice President,Gloria Estela La Riva and Dennis J. Banks,NA
Alix Rosenthal,President and Vice President,Hillary Clinton and Tim Kaine,NA
Alix Rosenthal,President and Vice President,Jill Stein and Ajamu Baraka,NA
Alix Rosenthal,Regional Proposition,RR,NA
Alix Rosenthal,SF Proposition,A,NA
Alix Rosenthal,SF Proposition,B,NA
Alix Rosenthal,SF Proposition,C,NA
Alix Rosenthal,SF Proposition,D,NA
Alix Rosenthal,SF Proposition,E,NA
Alix Rosenthal,SF Proposition,F,NA
Alix Rosenthal,SF Proposition,G,NA
Alix Rosenthal,SF Proposition,H,NA
Alix Rosenthal,SF Proposition,I,NA
Alix Rosenthal,SF Proposition,J,NA
Alix Rosenthal,SF Proposition,K,NA
Alix Rosenthal,SF Proposition,L,NA
Alix Rosenthal,SF Proposition,M,NA
Alix Rosenthal,SF Proposition,N,NA
Alix Rosenthal,SF Proposition,O,NA
Alix Rosenthal,SF Proposition,P,NA
Alix Rosenthal,SF Proposition,Q,NA
Alix Rosenthal,SF Proposition,R,NA
Alix Rosenthal,SF Proposition,S,NA
Alix Rosenthal,SF Proposition,T,NA
Alix Rosenthal,SF Proposition,U,NA
Alix Rosenthal,SF Proposition,V,NA
Alix Rosenthal,SF Proposition,W,NA
Alix Rosenthal,SF Proposition,X,NA
Alix Rosenthal,State Proposition,51,Yes
Alix Rosenthal,State Proposition,52,Yes
Alix Rosenthal,State Proposition,53,No
Alix Rosenthal,State Proposition,54,Yes
Alix Rosenthal,State Proposition,55,Yes
Alix Rosenthal,State Proposition,56,Yes
Alix Rosenthal,State Proposition,57,Yes
Alix Rosenthal,State Proposition,58,Yes
Alix Rosenthal,State Proposition,59,Yes
Alix Rosenthal,State Proposition,60,No
Alix Rosenthal,State Proposition,61,Yes
Alix Rosenthal,State Proposition,62,Yes
Alix Rosenthal,State Proposition,63,Yes
Alix Rosenthal,State Proposition,64,Yes
Alix Rosenthal,State Proposition,65,No
Alix Rosenthal,State Proposition,66,No
Alix Rosenthal,State Proposition,67,Yes
Alix Rosenthal,United States Senator,Kamala D. Harris,NA
Alix Rosenthal,United States Senator,Loretta L. Sanchez,NA
BOMA,"BART Director, District 7",Lateefah Simon,NA
BOMA,"BART Director, District 7",Roland Emerson,NA
BOMA,"BART Director, District 7",Will Roscoe,NA
BOMA,"BART Director, District 7",Zakhary Mallett,NA
BOMA,"BART Director, District 9",Bevan Dufty,NA
BOMA,"BART Director, District 9",Gywneth Borden,NA
BOMA,"BART Director, District 9",Michael Petraeus,NA
BOMA,"Judge of the Superior Court, Office No 7",Paul Henderson,NA
BOMA,"Judge of the Superior Court, Office No 7",Victor Hwang,NA
BOMA,"Member, Board of Education",Ian Kalin,NA
BOMA,"Member, Board of Education",Jill Wynns,NA
BOMA,"Member, Board of Education",Mark Sanchez,NA
BOMA,"Member, Board of Education",Matt Haney,NA
BOMA,"Member, Board of Education",Phil Kim,NA
BOMA,"Member, Board of Education",Rachel Norton,NA
BOMA,"Member, Board of Education",Rob Geller,NA
BOMA,"Member, Board of Education",Stevon Cook,NA
BOMA,"Member, Board of Education",Trevor McNeil,NA
BOMA,"Member, Board of Supervisors, District 1",Andy Thornley,No
BOMA,"Member, Board of Supervisors, District 1",Brian J. Larkin,No
BOMA,"Member, Board of Supervisors, District 1",David Lee,No
BOMA,"Member, Board of Supervisors, District 1",Jason Jungreis,No
BOMA,"Member, Board of Supervisors, District 1",Jonathan Lyens,No
BOMA,"Member, Board of Supervisors, District 1",Marjan Philhour,Yes
BOMA,"Member, Board of Supervisors, District 1",Richie Greenberg,No
BOMA,"Member, Board of Supervisors, District 1",Sandra Lee Fewer,No
BOMA,"Member, Board of Supervisors, District 1",Sherman R. D'Silva,No
BOMA,"Member, Board of Supervisors, District 11",Ahsha Safai,Yes
BOMA,"Member, Board of Supervisors, District 11",Berta Hernandez,No
BOMA,"Member, Board of Supervisors, District 11",Francisco Herrera,No
BOMA,"Member, Board of Supervisors, District 11",Kim Alvarenga,No
BOMA,"Member, Board of Supervisors, District 11",Magdalena de Guzman,No
BOMA,"Member, Board of Supervisors, District 3",Aaron Peskin,NA
BOMA,"Member, Board of Supervisors, District 3",Tim E. Donnelly,NA
BOMA,"Member, Board of Supervisors, District 5",Dean Preston,No
BOMA,"Member, Board of Supervisors, District 5",London Breed,Yes
BOMA,"Member, Board of Supervisors, District 7",Ben Matranga,Yes
BOMA,"Member, Board of Supervisors, District 7",Joel Engardio,No
BOMA,"Member, Board of Supervisors, District 7",John Farrell,No
BOMA,"Member, Board of Supervisors, District 7",Mike Young,No
BOMA,"Member, Board of Supervisors, District 7",Norman Yee,No
BOMA,"Member, Board of Supervisors, District 9",Hillary Ronen,No
BOMA,"Member, Board of Supervisors, District 9",Iswari Espana,No
BOMA,"Member, Board of Supervisors, District 9",Joshua Arce,Yes
BOMA,"Member, Board of Supervisors, District 9",Melissa San Miguel,No
BOMA,"Member, Community College Board",Alex Randolph,NA
BOMA,"Member, Community College Board",Dr. Amy Bacharach,NA
BOMA,"Member, Community College Board",Rafael Mandelman,NA
BOMA,"Member, Community College Board",Shanell Williams,NA
BOMA,"Member, Community College Board",Tom Temprano,NA
BOMA,"Member, State Assembly, District 17",David Chiu,Yes
BOMA,"Member, State Assembly, District 17",Matthew Del Carlo,No
BOMA,"Member, State Assembly, District 19","Carlos ""Chuck"" Taylor",NA
BOMA,"Member, State Assembly, District 19",Phil Ting,NA
BOMA,"State Senator, District 11",Jane Kim,No
BOMA,"State Senator, District 11",Scott Wiener,Yes
BOMA,"United States Representative, District 12",Nancy Pelosi,NA
BOMA,"United States Representative, District 12",Preston Picus,NA
BOMA,"United States Representative, District 13",Barbara Lee,NA
BOMA,"United States Representative, District 13",Sue Caro,NA
BOMA,"United States Representative, District 14",Angel Cardenas,NA
BOMA,"United States Representative, District 14",Jackie Speier,NA
BOMA,President and Vice President,Donald J. Trump and Michael R. Pence,NA
BOMA,President and Vice President,Gary Johnson and Bill Weld,NA
BOMA,President and Vice President,Gloria Estela La Riva and Dennis J. Banks,NA
BOMA,President and Vice President,Hillary Clinton and Tim Kaine,NA
BOMA,President and Vice President,Jill Stein and Ajamu Baraka,NA
BOMA,Regional Proposition,RR,Yes
BOMA,SF Proposition,A,Abstain
BOMA,SF Proposition,B,No
BOMA,SF Proposition,C,Yes
BOMA,SF Proposition,D,No
BOMA,SF Proposition,E,Yes
BOMA,SF Proposition,F,Abstain
BOMA,SF Proposition,G,Abstain
BOMA,SF Proposition,H,No
BOMA,SF Proposition,I,Abstain
BOMA,SF Proposition,J,Yes
BOMA,SF Proposition,K,Yes
BOMA,SF Proposition,L,No
BOMA,SF Proposition,M,No
BOMA,SF Proposition,N,Abstain
BOMA,SF Proposition,O,Yes
BOMA,SF Proposition,P,Yes
BOMA,SF Proposition,Q,Yes
BOMA,SF Proposition,R,Yes
BOMA,SF Proposition,S,Abstain
BOMA,SF Proposition,T,No
BOMA,SF Proposition,U,Yes
BOMA,SF Proposition,V,Abstain
BOMA,SF Proposition,W,No
BOMA,SF Proposition,X,No
BOMA,State Proposition,51,NA
BOMA,State Proposition,52,NA
BOMA,State Proposition,53,NA
BOMA,State Proposition,54,NA
BOMA,State Proposition,55,NA
BOMA,State Proposition,56,NA
BOMA,State Proposition,57,NA
BOMA,State Proposition,58,NA
BOMA,State Proposition,59,NA
BOMA,State Proposition,60,NA
BOMA,State Proposition,61,NA
BOMA,State Proposition,62,NA
BOMA,State Proposition,63,NA
BOMA,State Proposition,64,NA
BOMA,State Proposition,65,NA
BOMA,State Proposition,66,NA
BOMA,State Proposition,67,NA
BOMA,United States Senator,Kamala D. Harris,NA
BOMA,United States Senator,Loretta L. Sanchez,NA
Bay Area GOP,"BART Director, District 7",Lateefah Simon,NA
Bay Area GOP,"BART Director, District 7",Roland Emerson,NA
Bay Area GOP,"BART Director, District 7",Will Roscoe,NA
Bay Area GOP,"BART Director, District 7",Zakhary Mallett,NA
Bay Area GOP,"BART Director, District 9",Bevan Dufty,NA
Bay Area GOP,"BART Director, District 9",Gywneth Borden,NA
Bay Area GOP,"BART Director, District 9",Michael Petraeus,NA
Bay Area GOP,"Judge of the Superior Court, Office No 7",Paul Henderson,NA
Bay Area GOP,"Judge of the Superior Court, Office No 7",Victor Hwang,NA
Bay Area GOP,"Member, Board of Education",Ian Kalin,NA
Bay Area GOP,"Member, Board of Education",Jill Wynns,NA
Bay Area GOP,"Member, Board of Education",Mark Sanchez,NA
Bay Area GOP,"Member, Board of Education",Matt Haney,NA
Bay Area GOP,"Member, Board of Education",Phil Kim,NA
Bay Area GOP,"Member, Board of Education",Rachel Norton,NA
Bay Area GOP,"Member, Board of Education",Rob Geller,NA
Bay Area GOP,"Member, Board of Education",Stevon Cook,NA
